CVE ID,Title,Description,Technology Area,Vulnerability Type,Access Vector,CVSS Rating,CVSS Score,CVSS String,Affected Chipsets,Affected Software Versions,Bulletin Date,Source URL
CVE-2023-42699,Exposure of Sensitive Information to an Unauthorized Actor in omacp service,"In omacp service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,4,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12/Android13,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42700,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,4,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42701,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42702,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42703,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42704,Exposure of Sensitive Information to an Unauthorized Actor in imsservice,"In imsservice, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,4,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12/Android13,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42705,Exposure of Sensitive Information to an Unauthorized Actor in imsservice,"In imsservice, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,4,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12/Android13,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42706,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42707,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42708,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
