vendor,bulletin_id,published_date,year,month,bulletin_url
samsung,samsung-SMR-APR-2025,2025-04-01,2025,4,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2025&month=4
samsung,samsung-SMR-MAY-2025,2025-05-01,2025,5,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2025&month=5
samsung,samsung-SMR-JUN-2025,2025-06-01,2025,6,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2025&month=6
samsung,samsung-SMR-JUL-2025,2025-07-01,2025,7,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2025&month=7
samsung,samsung-SMR-AUG-2025,2025-08-01,2025,8,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2025&month=8
samsung,samsung-SMR-SEP-2025,2025-09-01,2025,9,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2025&month=9
samsung,samsung-SMR-OCT-2025,2025-10-01,2025,10,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2025&month=10
samsung,samsung-SMR-NOV-2025,2025-11-01,2025,11,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2025&month=11
samsung,samsung-SMR-DEC-2025,2025-12-01,2025,12,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2025&month=12
samsung,samsung-SMR-JAN-2026,2026-01-01,2026,1,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2026&month=1
samsung,samsung-SMR-FEB-2026,2026-02-01,2026,2,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2026&month=2
samsung,samsung-SMR-MAR-2026,2026-03-01,2026,3,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2026&month=3
samsung,samsung-SMR-APR-2026,2026-04-01,2026,4,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2026&month=4
samsung,samsung-SMR-MAY-2026,2026-05-01,2026,5,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2026&month=5
samsung,samsung-SMR-JUN-2026,2026-06-01,2026,6,https://security.samsungmobile.com/securityUpdateDetail.smsb?year=2026&month=6
vivo,vivo-advisory-21,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=21
vivo,vivo-advisory-20,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=20
vivo,vivo-advisory-19,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=19
vivo,vivo-advisory-18,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=18
vivo,vivo-advisory-17,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=17
vivo,vivo-advisory-16,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=16
vivo,vivo-advisory-15,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=15
vivo,vivo-advisory-14,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=14
vivo,vivo-advisory-13,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=13
vivo,vivo-advisory-11,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=11
vivo,vivo-advisory-12,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=12
vivo,vivo-advisory-7,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=7
vivo,vivo-advisory-6,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=6
vivo,vivo-advisory-5,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=5
vivo,vivo-advisory-10,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=10
vivo,vivo-advisory-9,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=9
vivo,vivo-advisory-8,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=8
vivo,vivo-advisory-4,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=4
vivo,vivo-advisory-3,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=3
vivo,vivo-advisory-2,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=2
vivo,vivo-advisory-1,2026-06-06,2026,6,https://www.vivo.com/en/support/security-advisory-detail?id=1
xiaomi,xiaomi-2020-06,2020-06-01,2020,6,https://trust.mi.com/misrc/bulletins?year=2020
xiaomi,xiaomi-2020-09,2020-09-01,2020,9,https://trust.mi.com/misrc/bulletins?year=2020
xiaomi,xiaomi-2020-12,2020-12-01,2020,12,https://trust.mi.com/misrc/bulletins?year=2020
xiaomi,xiaomi-2021-01,2021-01-01,2021,1,https://trust.mi.com/misrc/bulletins?year=2021
xiaomi,xiaomi-2021-04,2021-04-01,2021,4,https://trust.mi.com/misrc/bulletins?year=2021
xiaomi,xiaomi-2021-08,2021-08-01,2021,8,https://trust.mi.com/misrc/bulletins?year=2021
xiaomi,xiaomi-2021-09,2021-09-01,2021,9,https://trust.mi.com/misrc/bulletins?year=2021
xiaomi,xiaomi-2021-12,2021-12-01,2021,12,https://trust.mi.com/misrc/bulletins?year=2021
xiaomi,xiaomi-2022-03,2022-03-01,2022,3,https://trust.mi.com/misrc/bulletins?year=2022
xiaomi,xiaomi-2022-04,2022-04-01,2022,4,https://trust.mi.com/misrc/bulletins?year=2022
xiaomi,xiaomi-2022-06,2022-06-01,2022,6,https://trust.mi.com/misrc/bulletins?year=2022
xiaomi,xiaomi-2022-07,2022-07-01,2022,7,https://trust.mi.com/misrc/bulletins?year=2022
xiaomi,xiaomi-2022-10,2022-10-01,2022,10,https://trust.mi.com/misrc/bulletins?year=2022
xiaomi,xiaomi-2022-12,2022-12-01,2022,12,https://trust.mi.com/misrc/bulletins?year=2022
xiaomi,xiaomi-2023-03,2023-03-01,2023,3,https://trust.mi.com/misrc/bulletins?year=2023
xiaomi,xiaomi-2023-08,2023-08-01,2023,8,https://trust.mi.com/misrc/bulletins?year=2023
xiaomi,xiaomi-2024-02,2024-02-01,2024,2,https://trust.mi.com/misrc/bulletins?year=2024
xiaomi,xiaomi-2024-03,2024-03-01,2024,3,https://trust.mi.com/misrc/bulletins?year=2024
xiaomi,xiaomi-2024-05,2024-05-01,2024,5,https://trust.mi.com/misrc/bulletins?year=2024
xiaomi,xiaomi-2024-09,2024-09-01,2024,9,https://trust.mi.com/misrc/bulletins?year=2024
xiaomi,xiaomi-2025-02,2025-02-01,2025,2,https://trust.mi.com/misrc/bulletins?year=2025
xiaomi,xiaomi-2025-03,2025-03-01,2025,3,https://trust.mi.com/misrc/bulletins?year=2025
